postcode,place_id,distance,duration
5082,ChIJHc3SHVrasGoRMPi5RVU2Aw8,17.22,28.03
5082,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,7.54,13.1
5082,ChIJscH3eyHJsGoRjMLoSHcIsm4,2.75,5.12
5048,ChIJA8JbLlhLt2oRwQltOFgMf40,32.34,49.6
5048,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,26.38,42.28
5048,ChIJu3UpY0zRsGoRLMloCgGsIcA,12.63,19.48
5048,ChIJHc3SHVrasGoRMPi5RVU2Aw8,2.77,6.42
5048,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,23.14,38.3
5048,ChIJscH3eyHJsGoRjMLoSHcIsm4,17.15,29.28
5043,ChIJA8JbLlhLt2oRwQltOFgMf40,27.69,42.6
5043,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,21.73,35.28
5043,ChIJu3UpY0zRsGoRLMloCgGsIcA,10.75,17.87
5043,ChIJHc3SHVrasGoRMPi5RVU2Aw8,3.29,5.82
5043,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,18.5,31.28
5043,ChIJscH3eyHJsGoRjMLoSHcIsm4,12.51,22.27
2016,ChIJA8JbLlhLt2oRwQltOFgMf40,1373.66,876.05
2016,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,1364.45,862.73
2016,ChIJu3UpY0zRsGoRLMloCgGsIcA,1363.73,858.18
2016,ChIJHc3SHVrasGoRMPi5RVU2Aw8,1375.76,874.08
2016,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,1371.27,867.88
2016,ChIJscH3eyHJsGoRjMLoSHcIsm4,1369.97,866.17
5159,ChIJA8JbLlhLt2oRwQltOFgMf40,35.46,50.28
5159,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,32.38,41.12
5159,ChIJu3UpY0zRsGoRLMloCgGsIcA,11.26,15.75
5159,ChIJHc3SHVrasGoRMPi5RVU2Aw8,11.23,14.78
5159,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,26.27,38.98
5159,ChIJscH3eyHJsGoRjMLoSHcIsm4,23.57,32.03
5044,ChIJA8JbLlhLt2oRwQltOFgMf40,29.29,45.9
5044,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,23.34,38.58
5044,ChIJu3UpY0zRsGoRLMloCgGsIcA,14.02,22.18
5044,ChIJHc3SHVrasGoRMPi5RVU2Aw8,1.95,4.53
5044,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,20.1,34.6
5044,ChIJscH3eyHJsGoRjMLoSHcIsm4,14.11,25.57
5040,ChIJA8JbLlhLt2oRwQltOFgMf40,26.74,40.55
5040,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,20.78,33.25
5040,ChIJu3UpY0zRsGoRLMloCgGsIcA,14.28,24.9
5040,ChIJHc3SHVrasGoRMPi5RVU2Aw8,6.07,10.55
